name,url,created_at,updated_at,language,merged_pull_requests,releases,open_issues,closed_issues,closed_issues_percent
TriliumNext/Trilium,https://github.com/TriliumNext/Trilium,2017-05-23T00:30:20Z,2025-08-20T05:41:55Z,TypeScript,611,334,4573,3489,76.3
gkd-kit/gkd,https://github.com/gkd-kit/gkd,2023-07-04T03:59:15Z,2025-08-19T03:10:18Z,Kotlin,6,53,661,648,98.03
layui/layui,https://github.com/layui/layui,2015-09-22T08:12:03Z,2025-07-31T07:28:42Z,JavaScript,590,158,1363,1297,95.16
facebook/rocksdb,https://github.com/facebook/rocksdb,2012-11-30T06:16:18Z,2025-08-18T19:51:50Z,C++,609,206,3405,2636,77.42
medusajs/medusa,https://github.com/medusajs/medusa,2020-01-18T13:39:04Z,2025-08-20T12:16:25Z,TypeScript,7450,128,3262,3165,97.03
iawia002/lux,https://github.com/iawia002/lux,2018-02-24T11:29:03Z,2025-07-02T05:55:20Z,Go,300,86,1059,540,50.99
tqdm/tqdm,https://github.com/tqdm/tqdm,2015-06-03T13:13:14Z,2025-05-22T12:10:29Z,Python,287,131,1026,587,57.21
docsifyjs/docsify,https://github.com/docsifyjs/docsify,2016-11-20T07:55:43Z,2025-08-09T06:08:49Z,JavaScript,730,15,1287,1198,93.08
linexjlin/GPTs,https://github.com/linexjlin/GPTs,2023-11-11T03:24:16Z,2024-09-27T03:31:47Z,N/A,42,0,28,21,75.0
umami-software/umami,https://github.com/umami-software/umami,2020-07-17T07:59:00Z,2025-08-19T23:20:37Z,TypeScript,799,99,1836,1763,96.02
joshbuchea/HEAD,https://github.com/joshbuchea/HEAD,2016-04-20T20:05:37Z,2024-06-21T17:54:29Z,N/A,86,0,93,73,78.49
alpinejs/alpine,https://github.com/alpinejs/alpine,2019-11-28T13:51:55Z,2025-08-06T18:42:43Z,HTML,657,137,612,612,100.0
exo-explore/exo,https://github.com/exo-explore/exo,2024-06-24T18:36:22Z,2025-03-21T22:23:32Z,Python,207,12,506,146,28.85
AMAI-GmbH/AI-Expert-Roadmap,https://github.com/AMAI-GmbH/AI-Expert-Roadmap,2020-10-24T21:49:40Z,2023-12-31T02:20:16Z,JavaScript,13,0,66,46,69.7
numpy/numpy,https://github.com/numpy/numpy,2010-09-13T23:02:39Z,2025-08-20T08:38:16Z,Python,13086,132,13494,11392,84.42
s0md3v/roop,https://github.com/s0md3v/roop,2023-05-28T14:37:54Z,2024-08-19T12:57:17Z,Python,80,6,0,0,0.0
sequelize/sequelize,https://github.com/sequelize/sequelize,2010-07-22T07:11:11Z,2025-08-19T14:45:50Z,TypeScript,4961,487,10402,9511,91.43
tatsu-lab/stanford_alpaca,https://github.com/tatsu-lab/stanford_alpaca,2023-03-10T23:33:09Z,2024-07-17T09:43:05Z,Python,5,0,268,98,36.57
OWASP/CheatSheetSeries,https://github.com/OWASP/CheatSheetSeries,2018-12-21T14:26:43Z,2025-08-12T13:17:16Z,Python,1076,0,528,487,92.23
DioxusLabs/dioxus,https://github.com/DioxusLabs/dioxus,2021-01-15T01:57:26Z,2025-08-20T03:52:48Z,Rust,1766,25,2054,1629,79.31
OAI/OpenAPI-Specification,https://github.com/OAI/OpenAPI-Specification,2014-03-03T16:53:36Z,2025-08-20T08:40:01Z,Markdown,1578,12,2364,2221,93.95
GyulyVGC/sniffnet,https://github.com/GyulyVGC/sniffnet,2022-07-31T21:55:56Z,2025-08-19T10:16:13Z,Rust,430,14,280,239,85.36
transloadit/uppy,https://github.com/transloadit/uppy,2015-11-16T12:32:33Z,2025-08-20T10:47:06Z,TypeScript,3101,202,2448,2292,93.63
chinabugotech/hutool,https://github.com/chinabugotech/hutool,2014-04-13T07:23:51Z,2025-08-20T09:48:58Z,Java,452,152,2986,2981,99.83
Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,2019-03-31T00:45:57Z,2025-08-19T16:40:45Z,Python,9081,167,7398,6479,87.58
pathwaycom/llm-app,https://github.com/pathwaycom/llm-app,2023-07-19T08:43:37Z,2025-07-30T12:13:39Z,Jupyter Notebook,47,0,17,12,70.59
tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,2020-10-18T16:23:12Z,2025-08-20T10:24:58Z,Python,7920,13,973,844,86.74
VincentGarreau/particles.js,https://github.com/VincentGarreau/particles.js,2014-09-06T14:29:47Z,2024-03-28T03:21:07Z,JavaScript,21,6,411,106,25.79
surrealdb/surrealdb,https://github.com/surrealdb/surrealdb,2021-12-09T15:03:29Z,2025-08-20T12:07:01Z,Rust,2142,92,2156,1471,68.23
drizzle-team/drizzle-orm,https://github.com/drizzle-team/drizzle-orm,2021-06-24T09:03:05Z,2025-08-19T14:23:47Z,TypeScript,610,146,3126,1693,54.16
square/leakcanary,https://github.com/square/leakcanary,2015-04-29T23:54:16Z,2025-08-05T05:43:50Z,Kotlin,921,43,1636,1510,92.3
foundation/foundation-sites,https://github.com/foundation/foundation-sites,2011-10-13T23:05:42Z,2025-01-21T22:11:53Z,HTML,2958,79,8236,8179,99.31
AdguardTeam/AdGuardHome,https://github.com/AdguardTeam/AdGuardHome,2016-07-06T10:31:47Z,2025-08-15T14:30:42Z,Go,124,213,5761,4630,80.37
DevToys-app/DevToys,https://github.com/DevToys-app/DevToys,2021-09-29T01:40:41Z,2025-08-18T10:04:23Z,C#,497,38,933,658,70.53
jobbole/awesome-python-cn,https://github.com/jobbole/awesome-python-cn,2015-11-03T09:50:50Z,2022-08-29T11:28:59Z,Makefile,51,0,31,18,58.06
restic/restic,https://github.com/restic/restic,2014-04-27T14:07:58Z,2025-08-07T11:28:17Z,Go,2184,48,2815,2392,84.97
vuejs/vue-cli,https://github.com/vuejs/vue-cli,2015-12-26T23:11:20Z,2025-02-24T14:34:18Z,JavaScript,1258,177,5497,4563,83.01
cheeriojs/cheerio,https://github.com/cheeriojs/cheerio,2011-10-09T04:23:20Z,2025-08-20T05:22:27Z,TypeScript,2840,61,1220,1199,98.28
facebook/folly,https://github.com/facebook/folly,2012-06-01T20:49:04Z,2025-08-20T09:51:43Z,C++,13,254,1224,931,76.06
nothings/stb,https://github.com/nothings/stb,2014-05-25T16:51:23Z,2025-05-26T12:14:09Z,C,288,0,893,694,77.72
trailofbits/algo,https://github.com/trailofbits/algo,2016-05-15T03:42:48Z,2025-08-18T02:12:24Z,Python,575,2,1619,1534,94.75
wailsapp/wails,https://github.com/wailsapp/wails,2018-12-15T23:14:06Z,2025-08-19T22:21:39Z,Go,1503,242,2122,1865,87.89
JushBJJ/Mr.-Ranedeer-AI-Tutor,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,2023-03-31T12:37:26Z,2025-06-14T06:58:48Z,N/A,18,3,47,34,72.34
apolloconfig/apollo,https://github.com/apolloconfig/apollo,2016-03-04T10:24:23Z,2025-08-09T01:57:05Z,Java,1449,41,3352,3212,95.82
microsoft/WSL,https://github.com/microsoft/WSL,2016-04-06T17:32:56Z,2025-08-20T06:19:46Z,C++,137,94,11729,10708,91.3
vbenjs/vue-vben-admin,https://github.com/vbenjs/vue-vben-admin,2020-07-11T02:29:21Z,2025-08-20T04:40:49Z,Vue,1634,60,3594,3469,96.52
hyprwm/Hyprland,https://github.com/hyprwm/Hyprland,2022-03-16T19:49:13Z,2025-08-20T11:01:35Z,C++,1879,96,7270,7210,99.17
nicolargo/glances,https://github.com/nicolargo/glances,2011-12-04T08:49:15Z,2025-08-17T16:34:38Z,Python,743,51,2058,1933,93.93
elsewhencode/project-guidelines,https://github.com/elsewhencode/project-guidelines,2017-06-30T10:17:55Z,2024-12-09T07:59:04Z,JavaScript,113,0,38,29,76.32
motiondivision/motion,https://github.com/motiondivision/motion,2018-11-16T09:48:38Z,2025-08-13T14:31:24Z,TypeScript,1061,0,1857,1570,84.54
