name,url,created_at,updated_at,language,merged_pull_requests,releases,open_issues,closed_issues,closed_issues_percent
qianguyihao/Web,https://github.com/qianguyihao/Web,2017-01-03T11:44:33Z,2025-02-24T05:21:42Z,N/A,0,0,226,156,69.03
geekcompany/ResumeSample,https://github.com/geekcompany/ResumeSample,2014-09-08T08:08:13Z,2024-08-14T10:20:23Z,N/A,2,0,0,0,0.0
michalsnik/aos,https://github.com/michalsnik/aos,2015-07-09T17:49:00Z,2024-03-26T15:58:43Z,JavaScript,38,0,704,360,51.14
t3-oss/create-t3-app,https://github.com/t3-oss/create-t3-app,2022-05-24T13:31:01Z,2025-06-09T23:21:36Z,TypeScript,1114,138,738,675,91.46
raysan5/raylib,https://github.com/raysan5/raylib,2013-10-24T15:46:04Z,2025-08-20T10:34:05Z,C,2159,24,2028,2004,98.82
nginx/nginx,https://github.com/nginx/nginx,2015-06-23T10:26:27Z,2025-08-19T11:47:51Z,C,95,8,346,172,49.71
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,2013-01-14T15:46:28Z,2024-06-25T20:42:58Z,Jupyter Notebook,243,0,247,90,36.44
getredash/redash,https://github.com/getredash/redash,2013-10-28T13:19:39Z,2025-08-08T17:38:22Z,Python,3255,100,2572,1956,76.05
kingToolbox/WindTerm,https://github.com/kingToolbox/WindTerm,2019-10-09T19:56:09Z,2025-03-11T19:12:09Z,C,1,32,2743,564,20.56
YMFE/yapi,https://github.com/YMFE/yapi,2016-05-30T09:09:09Z,2024-08-12T09:29:34Z,JavaScript,141,1,2458,922,37.51
BerriAI/litellm,https://github.com/BerriAI/litellm,2023-07-27T00:09:52Z,2025-08-20T05:34:14Z,Python,5296,986,6531,5672,86.85
sxyazi/yazi,https://github.com/sxyazi/yazi,2023-07-08T11:45:55Z,2025-08-19T14:14:34Z,Rust,952,27,1409,1369,97.16
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,2020-03-14T11:46:39Z,2024-09-24T11:24:36Z,Python,177,23,1071,607,56.68
flameshot-org/flameshot,https://github.com/flameshot-org/flameshot,2017-05-10T19:44:51Z,2025-08-20T00:45:02Z,C++,964,30,2756,2091,75.87
tj/commander.js,https://github.com/tj/commander.js,2011-08-14T21:33:58Z,2025-08-18T07:36:37Z,JavaScript,827,83,1138,1131,99.38
imDazui/Tvlist-awesome-m3u-m3u8,https://github.com/imDazui/Tvlist-awesome-m3u-m3u8,2017-02-18T03:59:25Z,2023-12-24T09:46:43Z,N/A,1,0,73,49,67.12
ossrs/srs,https://github.com/ossrs/srs,2015-04-29T06:59:32Z,2025-08-20T05:10:15Z,C++,505,68,1538,1311,85.24
Advanced-Frontend/Daily-Interview-Question,https://github.com/Advanced-Frontend/Daily-Interview-Question,2019-01-19T10:49:00Z,2020-11-09T01:07:00Z,JavaScript,15,0,566,301,53.18
rxhanson/Rectangle,https://github.com/rxhanson/Rectangle,2019-06-21T21:34:53Z,2025-07-27T00:23:29Z,Swift,258,92,684,598,87.43
signalapp/Signal-Android,https://github.com/signalapp/Signal-Android,2011-12-15T20:01:12Z,2025-08-20T00:40:29Z,Kotlin,238,139,11246,10880,96.75
abhisheknaiidu/awesome-github-profile-readme,https://github.com/abhisheknaiidu/awesome-github-profile-readme,2020-07-12T12:57:25Z,2024-08-19T14:44:45Z,N/A,219,0,129,58,44.96
ValveSoftware/Proton,https://github.com/ValveSoftware/Proton,2018-03-13T18:45:27Z,2025-08-20T11:46:17Z,C++,13,73,8482,3753,44.25
mongodb/mongo,https://github.com/mongodb/mongo,2009-01-15T16:15:18Z,2025-08-20T10:52:33Z,C++,125,0,0,0,0.0
taichi-dev/taichi,https://github.com/taichi-dev/taichi,2016-11-24T10:00:05Z,2025-07-31T15:32:07Z,C++,5190,118,2732,1878,68.74
karpathy/llm.c,https://github.com/karpathy/llm.c,2024-04-08T16:58:11Z,2025-06-26T17:03:40Z,Cuda,314,0,157,69,43.95
jashkenas/underscore,https://github.com/jashkenas/underscore,2009-10-25T18:31:06Z,2025-04-09T15:56:55Z,JavaScript,746,0,1426,1396,97.9
microsoft/graphrag,https://github.com/microsoft/graphrag,2024-03-27T17:57:52Z,2025-08-19T13:09:39Z,Python,622,27,747,636,85.14
iced-rs/iced,https://github.com/iced-rs/iced,2019-07-15T22:34:46Z,2025-08-20T12:04:24Z,Rust,1028,17,1217,903,74.2
chubin/wttr.in,https://github.com/chubin/wttr.in,2015-12-26T21:03:43Z,2025-08-19T12:42:52Z,Python,309,0,732,401,54.78
stanfordnlp/dspy,https://github.com/stanfordnlp/dspy,2023-01-09T21:01:51Z,2025-08-20T09:07:32Z,Python,1229,96,1252,1084,86.58
fastai/fastai,https://github.com/fastai/fastai,2017-09-09T17:43:36Z,2025-08-19T22:00:53Z,Jupyter Notebook,1698,60,1830,1601,87.49
DrKLO/Telegram,https://github.com/DrKLO/Telegram,2013-10-25T14:08:10Z,2025-08-11T09:53:59Z,Java,20,95,0,0,0.0
Tencent/weui,https://github.com/Tencent/weui,2014-12-18T04:09:54Z,2025-08-14T08:03:08Z,HTML,205,52,669,615,91.93
eriklindernoren/ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch,2017-02-05T12:11:23Z,2023-10-15T06:05:06Z,Python,9,0,74,37,50.0
coder2gwy/coder2gwy,https://github.com/coder2gwy/coder2gwy,2020-12-30T14:40:50Z,2022-02-11T08:56:20Z,N/A,2,0,157,29,18.47
nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,2018-01-27T12:28:16Z,2025-07-03T02:41:54Z,TypeScript,2222,1000,4986,4618,92.62
Automattic/mongoose,https://github.com/Automattic/mongoose,2010-04-06T21:39:05Z,2025-08-19T19:12:06Z,JavaScript,3429,202,11063,10875,98.3
OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,2023-08-28T02:18:13Z,2025-07-22T15:23:31Z,Python,99,9,275,253,92.0
viatsko/awesome-vscode,https://github.com/viatsko/awesome-vscode,2016-02-07T23:02:45Z,2024-06-21T09:46:41Z,JavaScript,243,0,50,26,52.0
deezer/spleeter,https://github.com/deezer/spleeter,2019-09-26T15:40:46Z,2025-04-02T16:22:20Z,Python,51,2,798,561,70.3
